PersonName,DateOfBirth,GroupName,GroupCategory,Role,Height (inches),StartDate,EndDate,
Sarah & Johnny Tanner,,The Tannerites,YouTube,Member,,2015-08-20,,
Branson,,The Tannerites,YouTube,Member,,2015-08-20,,
Allie,,The Tannerites,YouTube,Member,,2015-08-20,,
Daniell,,The Tannerites,YouTube,Member,,2015-08-20,,
Savannah,,The Tannerites,YouTube,Member,,2015-08-20,,
Lizzy,,The Tannerites,YouTube,Member,,2015-08-20,,
Azbury,,The Tannerites,YouTube,Member,,2015-08-20,,
Canyon,,The Tannerites,YouTube,Member,,2015-08-20,,
Steve & Jamie Yeager,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Stephen,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Taylor,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Payton,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Jordyn,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Parker,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Blake,,Shot of the Yeagers (SOTY),YouTube,Member,,2015-08-09,,
Rebecca Zamolo,,Rebecca Zamolo,YouTube,Member,,,,
Matt Slays,,Rebecca Zamolo,YouTube,Member,,,,
Stephen Sharer,,Stephen Sharer,YouTube,Member,,,,
Grace Sharer,,Grace Sharer,YouTube,Member,,,,
Carter Sharer,,Carter Sharer,YouTube,Member,,,,
Jase & Rachel Bennett,,The Ohana Adventure,YouTube,Member,,2015-12-22,,
6 kids,,The Ohana Adventure,YouTube,Member,,2015-12-22,,
Rotating Kidz Bop Kids,,KIDZ BOP,Band,Member,,2001-10-09,,
Brooklynn,,XOMG POP!,Band,Member,,2021-11-14,,
Penelope,,XOMG POP!,Band,Member,,2021-11-14,,
Dallas,,XOMG POP!,Band,Member,,2021-11-14,,
Tinie T,,XOMG POP!,Band,Member,,2021-11-14,,
Kinley,,XOMG POP!,Band,Member,,2021-11-14,,
Kiya,,XOMG POP!,Band,Member,,2021-11-14,,
Leah,,XOMG POP!,Band,Member,,2021-11-14,,
Presley,,XOMG POP!,Band,Member,,2021-11-14,,
Bryton,,Ninja Kids,Band,Member,,,,
Ashton,,Ninja Kids,Band,Member,,,,
Payton,,Ninja Kids,Band,Member,,,,
Paxton,,Ninja Kids,Band,Member,,,,
Kayson,,Ninja Kids,Band,Member,,,,
Chad,,Spy Ninjas,Band,Member,,,,
Vy,,Spy Ninjas,Band,Member,,,,
Daniel,,Spy Ninjas,Band,Member,,,,
Regina,,Spy Ninjas,Band,Member,,,,
Melvin,,Spy Ninjas,Band,Member,,,,
Stephen Sharer,,Stephen Sharer,Band,Member,,,,
Stage musical adaptation,,Shrek the Musical,Musical/Show,Actor,,,,
Touring ice show,,Disney on Ice,Musical/Show,Actor,,,,
Touring stage show,,Trolls LIVE!,Musical/Show,Actor,,,,
Stage adaptation of Bluey,,Bluey’s Big Play,Musical/Show,Actor,,,,
Broadway musical,,SpongeBob SquarePants: The Musical,Musical/Show,Actor,,,,
Stage & film versions,,Matilda the Musical,Musical/Show,Actor,,,,
Disney Broadway musical,,Frozen the Musical,Musical/Show,Actor,,,,
Disney Broadway musical,,Aladdin the Musical,Musical/Show,Actor,,,,
Broadway & touring,,The Lion King Musical,Musical/Show,Actor,,,,
Cristina Vee,1987-07-11,Miraculous: Tales of Ladybug & Cat Noir,TV/Animated,Actor,,2015-10-19,,
Bryce Papenbrook,1986-02-24,Miraculous: Tales of Ladybug & Cat Noir,TV/Animated,Actor,,2015-10-19,,
Keith Silverstein,1970-12-24,Miraculous: Tales of Ladybug & Cat Noir,TV/Animated,Actor,,2015-10-19,,
Animated superhero series,,Miraculous: Tales of Ladybug & Cat Noir,TV/Animated,Actor,,2015-10-19,,
Mike Myers,,Shrek 1,Movie,Actor,,,,
Eddie Murphy,,Shrek 1,Movie,Actor,,,,
Cameron Diaz,,Shrek 1,Movie,Actor,,,,
Mike Myers,,Shrek 2,Movie,Actor,,,,
Eddie Murphy,,Shrek 2,Movie,Actor,,,,
Cameron Diaz,,Shrek 2,Movie,Actor,,,,
Antonio Banderas,,Shrek 2,Movie,Actor,,,,
Mike Myers,,Shrek 3,Movie,Actor,,,,
Eddie Murphy,,Shrek 3,Movie,Actor,,,,
Cameron Diaz,,Shrek 3,Movie,Actor,,,,
Justin Timberlake,,Shrek 3,Movie,Actor,,,,
Mike Myers,,Shrek 4,Movie,Actor,,,,
Eddie Murphy,,Shrek 4,Movie,Actor,,,,
Cameron Diaz,,Shrek 4,Movie,Actor,,,,
Antonio Banderas,,Puss in Boots 1,Movie,Actor,,,,
Salma Hayek,,Puss in Boots 1,Movie,Actor,,,,
Antonio Banderas,,Puss in Boots 2,Movie,Actor,,,,
Salma Hayek,,Puss in Boots 2,Movie,Actor,,,,
Harvey Guillen,,Puss in Boots 2,Movie,Actor,,,,
Hank Azaria,,Smurfs 1,Movie,Actor,,,,
Neil Patrick Harris,,Smurfs 1,Movie,Actor,,,,
Katy Perry,,Smurfs 1,Movie,Voice Actor,,,,
Hank Azaria,,Smurfs 2,Movie,Actor,,,,
Neil Patrick Harris,,Smurfs 2,Movie,Actor,,,,
Katy Perry,,Smurfs 2,Movie,Voice Actor,,,,
Demi Lovato,,Smurfs 3,Movie,Actor,,,,
Rainn Wilson,,Smurfs 3,Movie,Actor,,,,
Anna Kendrick,,Trolls 1,Movie,Actor,,,,
Justin Timberlake,,Trolls 1,Movie,Actor,,,,
Anna Kendrick,,Trolls 2,Movie,Actor,,,,
Justin Timberlake,,Trolls 2,Movie,Actor,,,,
Rachel Bloom,,Trolls 2,Movie,Actor,,,,
Anna Kendrick,,Trolls 3,Movie,Actor,,,,
Justin Timberlake,,Trolls 3,Movie,Actor,,,,
Chris Evans,,TMNT 2007,Movie,Actor,,,,
Sarah Michelle Gellar,,TMNT 2007,Movie,Actor,,,,
Megan Fox,,TMNT 2014,Movie,Actor,,,,
Johnny Knoxville,,TMNT 2014,Movie,Voice Actor,,,,
Megan Fox,,TMNT 2016,Movie,Actor,,,,
Stephen Amell,,TMNT 2016,Movie,Actor,,,,
Micah Abbey,,TMNT 2023,Movie,Actor,,,,
Nicolas Cantu,,TMNT 2023,Movie,Actor,,,,
Shamon Brown Jr.,,TMNT 2023,Movie,Actor,,,,
Brady Noon,,TMNT 2023,Movie,Actor,,,,
Steve Carell,,Despicable Me 1,Movie,Actor,,,,
Miranda Cosgrove,,Despicable Me 1,Movie,Actor,,,,
Steve Carell,,Despicable Me 2,Movie,Actor,,,,
Kristen Wiig,,Despicable Me 2,Movie,Actor,,,,
Steve Carell,,Despicable Me 3,Movie,Actor,,,,
Kristen Wiig,,Despicable Me 3,Movie,Actor,,,,
Pierre Coffin,,Minions 1,Movie,Actor,,,,
Sandra Bullock,,Minions 1,Movie,Actor,,,,
Pierre Coffin,,Minions 2,Movie,Actor,,,,
Steve Carell,,Minions 2,Movie,Actor,,,,
Adam Sandler,,Hotel Transylvania 1,Movie,Actor,,,,
Selena Gomez,,Hotel Transylvania 1,Movie,Actor,,,,
Andy Samberg,,Hotel Transylvania 1,Movie,Actor,,,,
Adam Sandler,,Hotel Transylvania 2,Movie,Actor,,,,
Selena Gomez,,Hotel Transylvania 2,Movie,Actor,,,,
Andy Samberg,,Hotel Transylvania 2,Movie,Actor,,,,
Adam Sandler,,Hotel Transylvania 3,Movie,Actor,,,,
Selena Gomez,,Hotel Transylvania 3,Movie,Actor,,,,
Andy Samberg,,Hotel Transylvania 3,Movie,Actor,,,,
Brian Hull,,Hotel Transylvania 4,Movie,Actor,,,,
Selena Gomez,,Hotel Transylvania 4,Movie,Actor,,,,
Andy Samberg,,Hotel Transylvania 4,Movie,Actor,,,,
Ben Stiller,,Madagascar 1,Movie,Actor,,,,
Chris Rock,,Madagascar 1,Movie,Actor,,,,
David Schwimmer,,Madagascar 1,Movie,Actor,,,,
Jada Pinkett Smith,,Madagascar 1,Movie,Actor,,,,
Ben Stiller,,Madagascar 2,Movie,Actor,,,,
Chris Rock,,Madagascar 2,Movie,Actor,,,,
David Schwimmer,,Madagascar 2,Movie,Actor,,,,
Jada Pinkett Smith,,Madagascar 2,Movie,Actor,,,,
Ben Stiller,,Madagascar 3,Movie,Actor,,,,
Chris Rock,,Madagascar 3,Movie,Actor,,,,
David Schwimmer,,Madagascar 3,Movie,Actor,,,,
Jada Pinkett Smith,,Madagascar 3,Movie,Actor,,,,
Tom McGrath,,Penguins of Madagascar,Movie,Actor,,,,
Chris Miller,,Penguins of Madagascar,Movie,Actor,,,,
Conrad Vernon,,Penguins of Madagascar,Movie,Actor,,,,
Nicolas Cage,,The Croods 1,Movie,Actor,,,,
Emma Stone,,The Croods 1,Movie,Actor,,,,
Ryan Reynolds,,The Croods 1,Movie,Actor,,,,
Nicolas Cage,,The Croods 2,Movie,Actor,,,,
Emma Stone,,The Croods 2,Movie,Actor,,,,
Ryan Reynolds,,The Croods 2,Movie,Actor,,,,
Kelly Marie Tran,,The Croods 2,Movie,Actor,,,,
Matthew McConaughey,,Sing 1,Movie,Actor,,,,
Reese Witherspoon,,Sing 1,Movie,Actor,,,,
Scarlett Johansson,,Sing 1,Movie,Actor,,,,
Matthew McConaughey,,Sing 2,Movie,Actor,,,,
Reese Witherspoon,,Sing 2,Movie,Actor,,,,
Scarlett Johansson,,Sing 2,Movie,Actor,,,,
Bono,,Sing 2,Movie,Actor,,,,
Idina Menzel,,Frozen 1,Movie,Actor,,,,
Kristen Bell,,Frozen 1,Movie,Actor,,,,
Josh Gad,,Frozen 1,Movie,Actor,,,,
Idina Menzel,,Frozen 2,Movie,Actor,,,,
Kristen Bell,,Frozen 2,Movie,Actor,,,,
Josh Gad,,Frozen 2,Movie,Actor,,,,
Auli'i Cravalho,,Moana 1,Movie,Actor,,,,
Dwayne Johnson,,Moana 1,Movie,Actor,,,,
Ginnifer Goodwin,,Zootopia 1,Movie,Actor,,,,
Jason Bateman,,Zootopia 1,Movie,Actor,,,,
Idris Elba,,Zootopia 1,Movie,Actor,,,,
